,MOAs,definitions
CHEMBL1082,Bacterial penicillin-binding protein inhibitor,penicillins
CHEMBL601773,:(,ergot alkaloid deriviatives
CHEMBL1868702,:(,estrogens; cardiotonics (amrinone type)
CHEMBL1556,:(,
CHEMBL152,Human herpesvirus 1 DNA polymerase inhibitor,antivirals
CHEMBL255863,:(,tyrosine kinase inhibitors
CHEMBL599,Cyclooxygenase-2 inhibitor,anti-inflammatory agents (isoxicam type)
CHEMBL1130,"DNA disrupting agent, RNA disrupting agent, Thymidylate synthase inhibitor",antivirals; antineoplastics (uridine derivatives)
CHEMBL305660,Histamine H1 receptor inverse agonist,antihistaminics (histamine-H1 receptor antagonists)
CHEMBL1086440,Unknown,antithelmintics (tibendazole type)
CHEMBL1201392,:(,
CHEMBL1237072,Bacterial 70S ribosome inhibitor,antibiotics (Streptomyces strain)
CHEMBL1410,Cell membrane disrupting agent,
CHEMBL235668,:(,uracil type antineoplastics
CHEMBL219916,Dopamine D2 receptor antagonist,antipsychotics (risperidone type)
CHEMBL788,DNA inhibitor,antivirals; antineoplastics (uridine derivatives)
CHEMBL15870,Cyclooxygenase inhibitor,anti-inflammatory/analgesic agents (ibuprofen type)
CHEMBL61,Unknown,
CHEMBL116438,:(,
CHEMBL454570,:(,
CHEMBL708,:(,antipsychotic with binding activity on sertonin (5-HT2A) and dopamine (D2) receptors
CHEMBL1042,Vitamin D receptor agonist,vitamin D analogs
CHEMBL12610,Cyclooxygenase inhibitor,
CHEMBL1200845,Glucocorticoid receptor agonist,topical steroids (acetal derivatives)
CHEMBL6273,:(,antibacterials (quinolone derivatives)
CHEMBL973,Dihydroorotate dehydrogenase inhibitor,
CHEMBL231616,Ribonucleotide reductase inhibitor,tricyclic compounds
CHEMBL550348,Iron chelating agent,
CHEMBL1479,"Progesterone receptor agonist, Androgen Receptor agonist",
CHEMBL1413,"Iron chelating agent, Aluminium chelating agent",antimycotics (pyridone derivatives)
CHEMBL461101,:(,thrombopoetin agonists
CHEMBL1451,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives)
CHEMBL1087630,:(,antithelmintics (tibendazole type)
CHEMBL473,HERG blocker,class III antiarrhythmic agents
CHEMBL1643,"Inosine-5'-monophosphate dehydrogenase 1 inhibitor, Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor, RNA inhibitor",antivirals
CHEMBL967,GABA-A receptor; anion channel positive allosteric modulator,antianxiety agents (diazepam type)
CHEMBL2106589,:(,"nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives"
CHEMBL1872946,:(,
CHEMBL29811,:(,
CHEMBL86416,:(,
CHEMBL466253,:(,
CHEMBL3348861,:(,
CHEMBL392394,:(,
CHEMBL73711,:(,
CHEMBL16687,:(,
CHEMBL8260,:(,
CHEMBL337173,:(,
CHEMBL551064,Insulin-like growth factor I receptor inhibitor,
CHEMBL285913,:(,
CHEMBL254832,:(,vasodilators (undefined group)
CHEMBL270299,:(,
CHEMBL160919,:(,
CHEMBL66089,:(,
CHEMBL18331,:(,antianxiety agents/neuroleptics (4'-fluoro-4-piperidinobutyrophenone derivatives)
CHEMBL1453,:(,
CHEMBL202721,:(,
CHEMBL1230020,:(,
CHEMBL435734,:(,
CHEMBL561708,:(,
CHEMBL285063,:(,
CHEMBL1256667,:(,
CHEMBL1944698,"Cyclin-dependent kinase 1 inhibitor, Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 7 inhibitor, Cyclin-dependent kinase 9 inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase JAK2 inhibitor",cyclin dependent kinase inhibitors (formerly-cidib)
CHEMBL96051,:(,
CHEMBL100473,:(,
CHEMBL1153,:(,
CHEMBL285932,:(,
CHEMBL257119,:(,
CHEMBL314612,:(,
CHEMBL428676,:(,
CHEMBL1518572,:(,
CHEMBL281594,:(,
CHEMBL4297270,Lysophosphatidic acid receptor Edg-2 antagonist,
CHEMBL65,:(,
CHEMBL128988,:(,
CHEMBL3601398,:(,
CHEMBL462605,Histamine H3 receptor inverse agonist,histamine H3 receptor antagonists
CHEMBL269646,:(,H2-receptor antagonists (cimetidine type)
CHEMBL4297538,C-C chemokine receptor type 2 antagonist,
CHEMBL1822792,Hepatocyte growth factor receptor inhibitor,
CHEMBL1593717,:(,
CHEMBL2141296,26S proteasome inhibitor,proteozome inhibitors
CHEMBL249973,:(,
CHEMBL422037,:(,
CHEMBL483158,Serine/threonine-protein kinase Aurora-A inhibitor,serine/threonine kinase inhibitors
CHEMBL1230607,Cyclin-dependent kinase inhibitor,
CHEMBL3545366,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL496102,Hepatocyte growth factor receptor inhibitor,
CHEMBL286020,:(,
CHEMBL479527,Cholesteryl ester transfer protein inhibitor,cholesterol ester transfer protein inhibitors
CHEMBL61301,:(,
CHEMBL90555,:(,vinca alkaloids
CHEMBL226630,:(,
CHEMBL2110627,:(,antihypertensives (ACE inhibitors)
CHEMBL550936,Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor,"antivirals: treatments of SARS-CoV-2 infection, inhibiting viral RNA replication"
CHEMBL4297643,1-phosphatidylinositol 3-phosphate 5-kinase inhibitor,immunomodulators
CHEMBL1236475,:(,antivirals; antineoplastics (uridine derivatives)
CHEMBL1231124,Tyrosine-protein kinase JAK2 inhibitor,
CHEMBL230011,"PI3-kinase p110-gamma subunit inhibitor, PI3-kinase p110-delta subunit inhibitor",
CHEMBL3120215,Serine/threonine-protein kinase mTOR inhibitor,
CHEMBL592445,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL4297298,:(,
CHEMBL3544932,Serine/threonine-protein kinase Aurora-B inhibitor,
CHEMBL2165191,PI3-kinase class I inhibitor,
CHEMBL2059304,:(,
CHEMBL225157,Toll-like receptor 4 inhibitor,
CHEMBL4297369,:(,
CHEMBL362558,"Glycogen synthase kinase-3 beta inhibitor, Glycogen synthase kinase-3 alpha inhibitor",
CHEMBL2051959,:(,
CHEMBL376408,:(,
CHEMBL39541,Tubulin inhibitor,enzyme inhibitors
CHEMBL278703,Estrogen receptor beta agonist,estrogen receptor beta agonist
CHEMBL3182621,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",
CHEMBL1454946,:(,antithelmintics (tibendazole type)
CHEMBL451635,:(,
CHEMBL491473,"Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor inhibitor, Vascular endothelial growth factor receptor inhibitor",angiogenesis inhibitors
CHEMBL3218575,:(,
CHEMBL262075,GABA receptor alpha-1 subunit positive allosteric modulator,"non-benzodiazepine anxiolytics, sedatives, hypnotics"
CHEMBL1331216,:(,
CHEMBL43185,:(,
CHEMBL1651534,Anandamide amidohydrolase inhibitor,
CHEMBL1236183,:(,
CHEMBL477989,:(,
CHEMBL226838,:(,
CHEMBL365617,:(,
CHEMBL254760,:(,
CHEMBL225519,:(,
CHEMBL423192,:(,
CHEMBL573339,:(,
CHEMBL9514,:(,
CHEMBL406375,:(,
CHEMBL88272,:(,
CHEMBL440084,:(,
CHEMBL202887,:(,
CHEMBL1200542,Mineralocorticoid receptor agonist,"cortisone derivatives; steroids (androgens, anabolics); antiandrogens"
CHEMBL303062,:(,
CHEMBL252172,:(,
CHEMBL473773,:(,
CHEMBL8565,:(,
CHEMBL412142,:(,
CHEMBL3040440,Focal adhesion kinase 1 inhibitor,
CHEMBL249697,:(,
CHEMBL403183,:(,
CHEMBL273862,:(,
CHEMBL145725,:(,
CHEMBL34431,:(,
CHEMBL1917204,:(,
CHEMBL28626,:(,
CHEMBL525191,:(,
CHEMBL9843,:(,
CHEMBL509032,:(,
CHEMBL174588,:(,
CHEMBL275443,:(,
CHEMBL450786,:(,
CHEMBL1187011,:(,
CHEMBL17127,:(,
CHEMBL464552,:(,
CHEMBL379218,:(,
CHEMBL189584,:(,
CHEMBL191003,:(,
CHEMBL365739,:(,
CHEMBL573107,:(,
CHEMBL429317,Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator,
CHEMBL494502,:(,
CHEMBL569864,:(,
CHEMBL1195210,:(,
CHEMBL263664,:(,
CHEMBL304428,:(,
CHEMBL405759,:(,
CHEMBL306946,:(,
CHEMBL97162,:(,
CHEMBL3581647,Bromodomain and extra-terminal motif (BET) inhibitor,extra-terminal motif (BET) family of bromodomain (BRD) proteins
CHEMBL540445,:(,
CHEMBL83899,:(,
CHEMBL3301607,Tyrosine-protein kinase JAK1 inhibitor,tyrosine kinase inhibitors
CHEMBL29711,:(,
CHEMBL609583,:(,
CHEMBL574737,"Cyclin-dependent kinase 2 inhibitor, Cyclin-dependent kinase 4 inhibitor, Cyclin-dependent kinase 6 inhibitor, Serine/threonine-protein kinase Chk1 inhibitor, 3-phosphoinositide dependent protein kinase-1 inhibitor, Protein kinase C (PKC) inhibitor",
CHEMBL260046,DNA inhibitor,phosphoro-derivatives; isophosphoramide mustard derivatives
CHEMBL603469,"Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase JAK2 inhibitor, Nerve growth factor receptor Trk-A inhibitor, Neurotrophic tyrosine kinase receptor type 2 inhibitor, NT-3 growth factor receptor inhibitor, Tyrosine-protein kinase receptor RET inhibitor",tyrosine kinase inhibitors
CHEMBL1231391,:(,
CHEMBL553939,:(,
CHEMBL1684984,PI3-kinase class I inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL269259,:(,
CHEMBL222559,Human immunodeficiency virus type 1 protease inhibitor,antivirals: HIV protease inhibitors (saquinavir type)
CHEMBL1243,Unknown,antimicrobials (sulfonamides derivatives)
CHEMBL239767,:(,
CHEMBL401989,:(,
CHEMBL559147,:(,
CHEMBL3545333,Androgen Receptor modulator,
CHEMBL1277001,Glutamate receptor ionotropic AMPA positive allosteric modulator,ionotropic non-NMDA (N-methyl D-aspartate) glutamate receptors [AMPA (alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor) and/or KA (kainite antagonist) receptors]: modulators
CHEMBL182319,:(,antineoplastics (mitotic inhibitors; tubulin binders)
CHEMBL1236962,"PI3-kinase class I inhibitor, Serine/threonine-protein kinase mTOR inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL8412,:(,
CHEMBL2103884,26S proteosome inhibitor,proteozome inhibitors
CHEMBL105442,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",
CHEMBL200102,:(,
CHEMBL4098253,:(,
CHEMBL204021,LDL-associated phospholipase A2 inhibitor,phospholipase A2 inhibitors
CHEMBL2138625,:(,
CHEMBL2079588,"Stem cell growth factor receptor inhibitor, Platelet-derived growth factor receptor beta inhibitor, Vascular endothelial growth factor receptor 2 inhibitor, Vascular endothelial growth factor receptor 3 inhibitor",tyrosine kinase inhibitors
CHEMBL1258517,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase p110-alpha subunit inhibitor",
CHEMBL1233851,:(,
CHEMBL29197,:(,
CHEMBL3644587,"Poly [ADP-ribose] polymerase-1 inhibitor, Poly [ADP-ribose] polymerase 2 inhibitor, Tankyrase 1/2 inhibitor",
CHEMBL510650,:(,
CHEMBL10316,Adrenergic receptor alpha-2 antagonist,alpha-adrenoceptor antagonists (benzodioxane derivatives)
CHEMBL274739,:(,
CHEMBL436559,:(,
CHEMBL1614725,"Receptor protein-tyrosine kinase erbB-2 inhibitor, Epidermal growth factor receptor erbB1 inhibitor",
CHEMBL3833367,:(,antineoplastics (platinum derivatives)
CHEMBL1908370,"Topoisomerase IV inhibitor, Topoisomerase IV inhibitor, DNA gyrase inhibitor, DNA gyrase inhibitor",antibacterials (quinolone derivatives)
CHEMBL1201864,Unknown,
CHEMBL305906,Unknown,quaternary ammonium derivatives
CHEMBL19633,:(,analgesics (meperidine type)
CHEMBL558752,"Serine/threonine-protein kinase B-raf inhibitor, Vascular endothelial growth factor receptor 2 inhibitor",
CHEMBL2140408,Serine/threonine-protein kinase Aurora inhibitor,
CHEMBL283754,:(,antiasthmatics/antiallergics (not acting primarily as antihistamines): leukotriene receptor antagonists; narcotic agonists/antagonists (normorphine type)
CHEMBL313842,:(,spasmolytic agents (papaverine type)
CHEMBL2220486,"Fibroblast growth factor receptor 1 inhibitor, Vascular endothelial growth factor receptor inhibitor, Fibroblast growth factor receptor 2 inhibitor",angiogenesis inhibitors
CHEMBL356066,:(,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL2107549,:(,antirheumatics (lobenzarit type)
CHEMBL3545096,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",
CHEMBL1650595,3-phosphoinositide dependent protein kinase-1 inhibitor,
CHEMBL3545264,Fibroblast growth factor receptor inhibitor,
CHEMBL2431768,:(,
CHEMBL1213492,:(,enzyme inhibitors: histone deacetylase inhibitors; vinca alkaloids
CHEMBL2029988,"Serine/threonine-protein kinase B-raf inhibitor, Epidermal growth factor receptor erbB1 inhibitor, Tyrosine-protein kinase receptor RET inhibitor",
CHEMBL2103762,:(,
CHEMBL304087,Inosine-5'-monophosphate dehydrogenase 1 inhibitor,inosine monophosphate dehydrogenase inhibitors
CHEMBL2105738,"Androgen Receptor antagonist, Cytochrome P450 17A1 inhibitor",antiandrogens
CHEMBL382769,:(,
CHEMBL216981,"Interleukin-8 receptor B antagonist, Interleukin-8 receptor A antagonist",chemokine (C-X-C motif) receptor 2 (CXCR2) modulators
CHEMBL488755,:(,
CHEMBL2017974,PI3-kinase class I inhibitor,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL3187723,"Dual specificity mitogen-activated protein kinase kinase 1 inhibitor, Dual specificity mitogen-activated protein kinase kinase 2 inhibitor",tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors
CHEMBL4303470,:(,
CHEMBL1090479,"Serine/threonine-protein kinase Aurora-B inhibitor, Serine/threonine-protein kinase Aurora-C inhibitor",
CHEMBL353581,:(,
CHEMBL4303615,:(,vitamin D analogs
CHEMBL513922,Translocator protein agonist,"mitochondrial benzodiazepine receptor (MBR) selective, partial, or inverse agonists (purine derivatives)"
CHEMBL214253,:(,
CHEMBL508280,:(,
CHEMBL2062804,:(,
CHEMBL2106620,:(,
CHEMBL363160,:(,
CHEMBL2103839,Serine/threonine-protein kinase mTOR inhibitor,immunosuppressives
CHEMBL586702,PI3-kinase class I inhibitor,
CHEMBL1232279,:(,antineoplastic antibiotics (daunorubicin type)
CHEMBL562668,Cannabinoid CB1 receptor antagonist,"cannabinol derivatives: CB (e.g., CB, CB2, etc.) cannabinoid receptor antagonists"
CHEMBL1256322,:(,
CHEMBL191482,:(,
CHEMBL2364605,"Nociceptin receptor agonist, Opioid receptors; mu/kappa/delta agonist",analgesics (mixed opiate receptor agonists/antagonists)
CHEMBL140979,:(,
CHEMBL3545157,Glycogen synthase kinase-3 beta inhibitor,
CHEMBL4297275,:(,
CHEMBL2103863,Histone deacetylase inhibitor,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL21536,"Muscarinic acetylcholine receptor M4 agonist, Muscarinic acetylcholine receptor M1 agonist",cholinergic agonists (arecoline derivatives used in treatment of Alzheimer's disease
CHEMBL3545185,Exportin-1 inhibitor,exportin 1 inhibitors
CHEMBL552212,Tubulin inhibitor,antineoplastics (mitotic inhibitors; tubulin binders)
CHEMBL1908397,"Serine/threonine-protein kinase Aurora-A inhibitor, Serine/threonine-protein kinase Aurora-B inhibitor, Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase ABL inhibitor",
CHEMBL296586,:(,
CHEMBL85194,:(,
CHEMBL8618,:(,
CHEMBL19612,:(,
CHEMBL3137322,DNA cross-linking agent,
CHEMBL513,"Glutathione reductase inhibitor, DNA inhibitor, RNA inhibitor",antineoplastics (chloroethylamine derivatives)
CHEMBL11359,DNA inhibitor,antineoplastics (platinum derivatives)
CHEMBL167911,:(,
CHEMBL1200694,"Glycine receptor (alpha-1/beta) positive modulator, GABA-A receptor; anion channel positive allosteric modulator, Potassium channel subfamily K member 10 opener, Potassium channel subfamily K member 18 opener, Potassium channel subfamily K member 3 opener, Potassium channel subfamily K member 9 opener, Potassium channel subfamily K member 2 opener",general inhalation anesthetics (halogenated alkane derivatives)
CHEMBL446143,:(,
CHEMBL414804,DNA inhibitor,antineoplastics (platinum derivatives)
CHEMBL666,:(,phosphoro-derivatives
CHEMBL141446,:(,
CHEMBL1395579,:(,"aptamers, classical and mirror"
CHEMBL36506,:(,
CHEMBL345714,Unknown,
CHEMBL1341,"Glycine receptor (alpha-1/beta) agonist, GABA-A receptor; anion channel positive modulator",general inhalation anesthetics (halogenated alkane derivatives)
CHEMBL1351,DNA inhibitor,antineoplastics (platinum derivatives)
CHEMBL1193,:(,
CHEMBL558,:(,
CHEMBL25306,:(,
CHEMBL152649,:(,
CHEMBL1495,:(,
CHEMBL600,"Glutathione precursor, Mycolytic",
CHEMBL427,:(,
CHEMBL160,Cyclophilin A modulator,
CHEMBL396298,:(,multidrug resistance inhibitors: acridine carboxamide derivatives
CHEMBL286447,:(,
CHEMBL206834,"Tyrosine-protein kinase ABL inhibitor, Tyrosine-protein kinase Lyn inhibitor",tyrosine kinase inhibitors
CHEMBL249856,Phosphodiesterase 3 inhibitor,
CHEMBL95431,:(,
CHEMBL17205,:(,
CHEMBL3545376,Fibroblast growth factor receptor inhibitor,tyrosine kinase inhibitors
CHEMBL87045,:(,
CHEMBL218291,:(,
CHEMBL3621988,:(,enzyme inhibitors: histone deacetylase inhibitors
CHEMBL607400,Synaptic vesicle glycoprotein 2A modulator,"nootropic agents (learning, cognitive enhancers), piracetam type"
CHEMBL1521495,:(,antianxiety agents (diazepam type)
CHEMBL4297181,"Serine/threonine-protein kinase mTOR inhibitor, PI3-kinase class I inhibitor",phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL1201784,:(,
CHEMBL3265032,Tyrosine-protein kinase SYK inhibitor,tyrosine kinase inhibitors
CHEMBL3286830,"ALK tyrosine kinase receptor inhibitor, EML4-ALK  inhibitor",tyrosine kinase inhibitors
CHEMBL934,:(,
CHEMBL1957038,:(,
CHEMBL3301622,"Tyrosine-protein kinase receptor FLT3 inhibitor, Tyrosine-protein kinase receptor UFO inhibitor",tyrosine kinase inhibitors
CHEMBL3544911,"Serine/threonine-protein kinase Chk1 inhibitor, Serine/threonine-protein kinase Chk2 inhibitor",serine/threonine kinase inhibitors
CHEMBL1580,Adenosine deaminase inhibitor,enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)
CHEMBL84,:(,antineoplastics (camptothecin derivatives)
CHEMBL2105711,Sodium/glucose cotransporter 2 inhibitor,"phlorozin derivatives, phenolic glycosides"
CHEMBL219146,:(,
CHEMBL2103832,"Dopamine receptors; D2 & D3 partial agonist, Serotonin 1a (5-HT1a) receptor agonist",
CHEMBL77305,DNA topoisomerase I inhibitor,antineoplastics (camptothecin derivatives)
CHEMBL2110725,Tubulin inhibitor,vinca alkaloids
CHEMBL4084907,:(,phosphatidylinositol 3-kinase (PI3K) inhibitors
CHEMBL492399,Tubulin disrupting agent,antineoplastics (mitotic inhibitors; tubulin binders)
CHEMBL3989870,Serine-protein kinase ATR inhibitor,serine/threonine kinase inhibitors
CHEMBL7301,:(,retinol derivatives
CHEMBL159,:(,antihistaminics (histamine-H1 receptor antagonists); vinca alkaloids
CHEMBL285123,:(,deuterated compounds
CHEMBL513181,:(,
CHEMBL271023,:(,
CHEMBL595354,:(,
CHEMBL1762621,"Peroxisome proliferator-activated receptor gamma antagonist, Inhibitor of nuclear factor kappa B kinase beta subunit inhibitor, Keap1/Nrf2 inhibitor",steroids (not prednisolone derivatives)
CHEMBL555017,:(,
CHEMBL1756,:(,estrogens; antineoplastics (chloroethylamine derivatives)
CHEMBL23588,:(,anti-inflammatory agents (anthranilic acid derivatives) and their salts or esters
CHEMBL1608183,:(,prednisone and prednisolone derivatives
CHEMBL181932,:(,uracil type antineoplastics
CHEMBL145,:(,
CHEMBL282575,:(,estrogens
CHEMBL506569,Sodium/potassium-transporting ATPase inhibitor,
CHEMBL1200340,"Neuraminidase inhibitor, Neuraminidase inhibitor",antivirals: neuraminidase inhibitors
CHEMBL1096882,"Ribonucleoside-diphosphate reductase RR1 inhibitor, DNA polymerase (alpha/delta/epsilon) inhibitor",antineoplastics (arabinofuranosyl derivatives)
CHEMBL1200973,Estrogen receptor alpha agonist,estrogens
CHEMBL1159650,Glucocorticoid receptor agonist,
CHEMBL1609891,:(,
CHEMBL1152,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); prednisone and prednisolone derivatives
CHEMBL271227,Cytochrome P450 17A1 inhibitor,antiandrogens
CHEMBL1200500,Glucocorticoid receptor agonist,
CHEMBL691,Estrogen receptor alpha agonist,estrogens
CHEMBL1651,:(,
CHEMBL1504,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); topical steroids (acetal derivatives)
CHEMBL1473,Glucocorticoid receptor agonist,
CHEMBL1476022,Progesterone receptor agonist,estrogens; progestins
CHEMBL922,DNA polymerase/reverse transcriptase inhibitor,antivirals
CHEMBL139835,"Androgen Receptor antagonist, Glucocorticoid receptor antagonist, Progesterone receptor agonist",antiandrogens
CHEMBL1456,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,
CHEMBL1506,Bacterial 70S ribosome inhibitor,
CHEMBL1200909,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); prednisone and prednisolone derivatives
CHEMBL600325,:(,
CHEMBL866,Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,
CHEMBL1318939,:(,antihyperlipidemics (clofibrate type)
CHEMBL2355839,:(,
CHEMBL1200975,Glucocorticoid receptor agonist,cortisone derivatives; steroids (not prednisolone derivatives)
CHEMBL2105695,Tryptophan 5-hydroxylase inhibitor,enzyme inhibitors: tryptophan hydroxylase inhibitors
CHEMBL96172,Tubulin stabiliser,
CHEMBL363535,:(,
CHEMBL3989759,:(,antineoplastics (camptothecin derivatives)
CHEMBL94657,Tubulin stabiliser,
CHEMBL1181633,:(,
CHEMBL1201146,Progesterone receptor agonist,
CHEMBL1256901,:(,
CHEMBL1673148,Unknown,quaternary ammonium derivatives
CHEMBL1200384,Glucocorticoid receptor agonist,
CHEMBL454446,Bacterial penicillin-binding protein inhibitor,cephalosporins
CHEMBL989,Glucocorticoid receptor agonist,steroids (not prednisolone derivatives); topical steroids (acetal derivatives)
CHEMBL284616,:(,
CHEMBL274189,:(,
CHEMBL485659,:(,steroids (not prednisolone derivatives); prednisone and prednisolone derivatives
CHEMBL1328968,:(,estrogens; progestins
CHEMBL1200908,Glucocorticoid receptor agonist,
CHEMBL1863513,Unknown,
CHEMBL1200737,Lung surfactant,phosphoro-derivatives
CHEMBL329993,:(,
CHEMBL6291,:(,
CHEMBL445332,:(,anti-inflammatory agents (salicylic acid derivatives); vinca alkaloids
CHEMBL64894,DNA inhibitor,
CHEMBL411729,:(,
CHEMBL3184512,Bacterial 70S ribosome inhibitor,antibiotics (Streptomyces strain)
CHEMBL1351474,:(,
CHEMBL78150,:(,
CHEMBL2355915,:(,
CHEMBL2179618,:(,
CHEMBL465161,:(,
CHEMBL1255754,:(,
CHEMBL1256136,:(,
CHEMBL1385514,:(,
CHEMBL269277,:(,
CHEMBL465704,:(,
CHEMBL792,:(,
CHEMBL1235017,:(,
CHEMBL3545432,26S proteosome inhibitor,proteozome inhibitors
CHEMBL272621,"LXR-beta agonist, LXR-alpha agonist",
CHEMBL1200877,Glucocorticoid receptor agonist,
CHEMBL19980,:(,
CHEMBL319244,:(,
CHEMBL1256685,:(,
CHEMBL1200747,Unknown,quaternary ammonium derivatives; quaternary ammonium derivatives
CHEMBL1200471,:(,
CHEMBL1333953,:(,
CHEMBL2079699,:(,
CHEMBL207602,:(,enzyme inhibitors
CHEMBL15192,:(,
CHEMBL1200645,DNA topoisomerase II alpha inhibitor,
CHEMBL541265,:(,
CHEMBL2105669,Bacterial 70S ribosome inhibitor,oxazolidinone antibacterials
CHEMBL81977,:(,
CHEMBL43184,:(,acridine derivatives
CHEMBL185,"Thymidylate synthase inhibitor, DNA inhibitor, RNA inhibitor",uracil type antineoplastics; uracil derivatives used as thyroid antagonists and as antineoplastics
CHEMBL62382,:(,
CHEMBL2152944,:(,
CHEMBL1775048,:(,
CHEMBL13791,:(,
