"","X","X0","moas"
"777","embelin","CHEMBL221137"," "
"778","SKF-96365","CHEMBL1256808"," "
"779","ouabain","CHEMBL222863"," "
"780","taurine","CHEMBL239243"," "
"781","anastrozole","CHEMBL1399","Cytochrome P450 19A1 inhibitor"
"782","anastrozole","CHEMBL1399","aromatase inhibitors (imidazole/triazole derivatives)"
"783","isoetharine","CHEMBL1201213"," "
"784","thiostrepton","CHEMBL468719"," "
"785","GSK256066","CHEMBL570015","Phosphodiesterase 4 inhibitor"
"786","radezolid","CHEMBL455461","Bacterial 70S ribosome inhibitor"
"787","radezolid","CHEMBL455461","oxazolidinone antibacterials"
"788","BMS-707035","CHEMBL486226","Integrase inhibitor"
"789","AT-9283","CHEMBL495727","Tyrosine-protein kinase ABL inhibitor"
"790","AT-9283","CHEMBL495727","Serine/threonine-protein kinase Aurora-A inhibitor"
"791","AT-9283","CHEMBL495727","Serine/threonine-protein kinase Aurora-B inhibitor"
"792","AT-9283","CHEMBL495727","Tyrosine-protein kinase receptor FLT3 inhibitor"
"793","AT-9283","CHEMBL495727","Tyrosine-protein kinase JAK2 inhibitor"
"794","AT-9283","CHEMBL495727","Tyrosine-protein kinase JAK3 inhibitor"
"795","sobetirome","CHEMBL107400"," antihyperlipidemic"
"796","sobetirome","CHEMBL107400","thyromimetic derivatives"
"797","CX-4945","CHEMBL1230165","Casein kinase II alpha inhibitor"
"798","CX-4945","CHEMBL1230165","serine/threonine kinase inhibitors"
"799","SB-242235","CHEMBL95692"," "
"800","forskolin","CHEMBL52606"," "
"801","AST-1306","CHEMBL1947204","Epidermal growth factor receptor erbB1 inhibitor"
"802","AST-1306","CHEMBL1947204","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"803","AST-1306","CHEMBL1947204","tyrosine kinase inhibitors"
"804","bardoxolone","CHEMBL1093059"," steroids (not prednisolone derivatives)"
"805","serdemetan","CHEMBL2137530"," "
"806","CUDC-101","CHEMBL598797","Epidermal growth factor receptor erbB1 inhibitor"
"807","CUDC-101","CHEMBL598797","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"808","CUDC-101","CHEMBL598797","Histone deacetylase inhibitor"
"809","hypericin","CHEMBL286494"," "
"810","acivicin","CHEMBL1231101"," "
"811","MK-2206","CHEMBL1079175","Serine/threonine-protein kinase AKT inhibitor"
"812","MRS-1220","CHEMBL88147"," "
"813","bucladesine","CHEMBL485980"," "
"814","zolantidine","CHEMBL419296"," "
"815","AM-404","CHEMBL39878"," "
"816","CGP-54626","CHEMBL1213187"," "
"817","clobutinol","CHEMBL1474889","Unknown"
"818","dimethisoquin","CHEMBL127643"," "
"819","lomefloxacin","CHEMBL561"," antibacterials (quinolone derivatives)"
"820","eprinomectin","CHEMBL3989594"," antiparasitics (ivermectin type)"
"821","defactinib","CHEMBL3137331","Focal adhesion kinase 1 inhibitor"
"822","defactinib","CHEMBL3137331","Protein tyrosine kinase 2 beta inhibitor"
"823","defactinib","CHEMBL3137331","tyrosine kinase inhibitors"
"824","NMS-1286937","CHEMBL1094408"," "
"825","mubritinib","CHEMBL1614707","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"826","mubritinib","CHEMBL1614707","tyrosine kinase inhibitors"
"827","refametinib","CHEMBL1236682","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"828","refametinib","CHEMBL1236682","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"829","refametinib","CHEMBL1236682","tyrosine kinase inhibitors: tyrosine kinase inhibitors; MEK (MAPK kinase) inhibitors"
"830","cromakalim","CHEMBL49035"," potassium channel agonists"
"831","sangivamycin","CHEMBL101892"," "
"832","VTP-27999","CHEMBL1276678"," "
"833","RU-58841","CHEMBL9337"," "
"834","fexinidazole","CHEMBL1631694","Cytotoxic"
"835","fexinidazole","CHEMBL1631694","antiprotozoal substances (metronidazole type)"
"836","KP-1212","CHEMBL3086524"," "
"837","imiloxan","CHEMBL347695"," alpha-adrenoceptor antagonists (benzodioxane derivatives)"
"838","latrepirdine","CHEMBL589390"," serotonin 5-HT6 receptor inhibitors"
"839","mocetinostat","CHEMBL272980","Histone deacetylase 1 inhibitor"
"840","mocetinostat","CHEMBL272980","Histone deacetylase 2 inhibitor"
"841","mocetinostat","CHEMBL272980","Histone deacetylase 3 inhibitor"
"842","mocetinostat","CHEMBL272980","Histone deacetylase 11 inhibitor"
"843","mocetinostat","CHEMBL272980","Histone deacetylase 8 inhibitor"
"844","mocetinostat","CHEMBL272980","enzyme inhibitors: histone deacetylase inhibitors"
"845","JNJ-26481585","CHEMBL2105763","Histone deacetylase inhibitor"
"846","JNJ-26481585","CHEMBL2105763","enzyme inhibitors: histone deacetylase inhibitors"
"847","MLN-8054","CHEMBL259084","Serine/threonine-protein kinase Aurora-A inhibitor"
"848","BMS-599626","CHEMBL1645462","Epidermal growth factor receptor erbB1 inhibitor"
"849","BMS-599626","CHEMBL1645462","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"850","BMS-599626","CHEMBL1645462","Receptor protein-tyrosine kinase erbB-4 inhibitor"
"851","PF-03814735","CHEMBL3545078","Serine/threonine-protein kinase Aurora-A inhibitor"
"852","PF-03814735","CHEMBL3545078","Serine/threonine-protein kinase Aurora-B inhibitor"
"853","narlaprevir","CHEMBL1255891","Hepatitis C virus serine protease"
"854","narlaprevir","CHEMBL1255891","NS3/NS4A inhibitor"
"855","narlaprevir","CHEMBL1255891","antivirals: serine protease inhibitors"
"856","Y-39983","CHEMBL571948","Rho-associated protein kinase inhibitor"
"857","AP26113","CHEMBL3545311","ALK tyrosine kinase receptor inhibitor"
"858","AP26113","CHEMBL3545311","Epidermal growth factor receptor erbB1 inhibitor"
"859","AP26113","CHEMBL3545311","tyrosine kinase inhibitors"
"860","GDC-0152","CHEMBL2063869"," "
"861","adarotene","CHEMBL442016"," "
"862","XL888","CHEMBL4297451"," "
"863","ENMD-2076","CHEMBL482968","Serine/threonine-protein kinase Aurora-A inhibitor"
"864","ENMD-2076","CHEMBL482968","Serine/threonine-protein kinase Aurora-B inhibitor"
"865","ENMD-2076","CHEMBL482968","Vascular endothelial growth factor receptor 2 inhibitor"
"866","ENMD-2076","CHEMBL482968","Fibroblast growth factor receptor 3 inhibitor"
"867","ENMD-2076","CHEMBL482968","Tyrosine-protein kinase receptor FLT3 inhibitor"
"868","ENMD-2076","CHEMBL482968","Stem cell growth factor receptor inhibitor"
"869","ENMD-2076","CHEMBL482968","Macrophage colony stimulating factor receptor inhibitor"
"870","SGI-1776","CHEMBL1952329","Serine/threonine-protein kinase PIM inhibitor"
"871","PF-04691502","CHEMBL1234354","Serine/threonine-protein kinase mTOR inhibitor"
"872","PF-04691502","CHEMBL1234354","PI3-kinase class I inhibitor"
"873","mericitabine","CHEMBL562967","Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor"
"874","mericitabine","CHEMBL562967","nucleoside antiviral or antineoplastic agents"
"875","mericitabine","CHEMBL562967","cytarabine or azarabine derivatives"
"876","KX2-391","CHEMBL571546","Tyrosine-protein kinase SRC inhibitor"
"877","KX2-391","CHEMBL571546","antineoplastics (mitotic inhibitors; tubulin binders)"
"878","SNS-314","CHEMBL482767","Serine/threonine-protein kinase Aurora inhibitor"
"879","AZD9668","CHEMBL3617964","Leukocyte elastase inhibitor"
"880","AZD9668","CHEMBL3617964","enzyme inhibitors: elastase inhibitors"
"881","AZD8055","CHEMBL1801204","Serine/threonine-protein kinase mTOR inhibitor"
"882","PF-477736","CHEMBL3545137","Serine/threonine-protein kinase Chk1 inhibitor"
"883","FG-4592","CHEMBL2338329","Hypoxia-inducible factor prolyl hydroxylase inhibitor"
"884","FG-4592","CHEMBL2338329","enzyme inhibitors: hypoxia-inducible factor (HIF) prolyl hydroxylase inhibitors"
"885","tandutinib","CHEMBL124660","Tyrosine-protein kinase receptor FLT3 inhibitor"
"886","tandutinib","CHEMBL124660","Stem cell growth factor receptor inhibitor"
"887","tandutinib","CHEMBL124660","Platelet-derived growth factor receptor beta inhibitor"
"888","tandutinib","CHEMBL124660","tyrosine kinase inhibitors"
"889","peruvoside","CHEMBL1075790"," "
"890","GSK2110183","CHEMBL2219422","Serine/threonine-protein kinase AKT inhibitor"
"891","GSK2110183","CHEMBL2219422","serine/threonine kinase inhibitors"
"892","voreloxin","CHEMBL68117","DNA topoisomerase II inhibitor"
"893","voreloxin","CHEMBL68117","DNA inhibitor"
"894","voreloxin","CHEMBL68117","fluoroquinolone derivatives"
"895","voreloxin","CHEMBL68117","nonantibacterial indication (e.g."
"896","voreloxin","CHEMBL68117","antineoplastic antibiotics)"
"897","GW-501516","CHEMBL38943","Peroxisome proliferator-activated receptor delta agonist"
"898","OSI-930","CHEMBL1614710","Stem cell growth factor receptor inhibitor"
"899","OSI-930","CHEMBL1614710","Vascular endothelial growth factor receptor inhibitor"
"900","CGS-20625","CHEMBL1087629"," "
"901","ZK-93426","CHEMBL1271047"," "
"902","entinostat","CHEMBL27759","Histone deacetylase inhibitor"
"903","entinostat","CHEMBL27759","enzyme inhibitors: histone deacetylase inhibitors"
"904","PF-04217903","CHEMBL2001019","Hepatocyte growth factor receptor inhibitor"
"905","rucinol","CHEMBL450195"," "
"906","HMN-214","CHEMBL3545431","Serine/threonine-protein kinase PLK1 inhibitor"
"907","delanzomib","CHEMBL270515"," proteozome inhibitors"
"908","lonafarnib","CHEMBL298734","Protein farnesyltransferase inhibitor"
"909","lonafarnib","CHEMBL298734","farnesyl transferase inhibitor"
"910","quizartinib","CHEMBL576982","Macrophage colony stimulating factor receptor inhibitor"
"911","quizartinib","CHEMBL576982","Tyrosine-protein kinase receptor FLT3 inhibitor"
"912","quizartinib","CHEMBL576982","Stem cell growth factor receptor inhibitor"
"913","quizartinib","CHEMBL576982","Platelet-derived growth factor receptor inhibitor"
"914","quizartinib","CHEMBL576982","Tyrosine-protein kinase receptor RET inhibitor"
"915","quizartinib","CHEMBL576982","tyrosine kinase inhibitors"
"916","birinapant","CHEMBL3039522","cIAP1/cIAP2 inhibitor"
"917","birinapant","CHEMBL3039522","inhibitor of apoptosis protein (IAP)"
"918","AZD5363","CHEMBL2325741","Serine/threonine-protein kinase AKT inhibitor"
"919","AZD5363","CHEMBL2325741","serine/threonine kinase inhibitors"
"920","AZD4547","CHEMBL3184679","Fibroblast growth factor receptor inhibitor"
"921","teroxirone","CHEMBL453863"," "
"922","PF-03758309","CHEMBL3128043","Serine/threonine-protein kinase PAK 4 inhibitor"
"923","LGX818","CHEMBL3301612","Serine/threonine-protein kinase B-raf inhibitor"
"924","LGX818","CHEMBL3301612","rapidly accelerated fibrosarcoma (RAF) kinase inhibitors"
"925","BVD-523","CHEMBL3590106","MAP kinase ERK1 inhibitor"
"926","BVD-523","CHEMBL3590106","MAP kinase ERK2 inhibitor"
"927","BVD-523","CHEMBL3590106","tyrosine kinase inhibitors: epidermal growth factor receptor (EGFR) inhibitors"
"928","vatalanib","CHEMBL101253","Stem cell growth factor receptor inhibitor"
"929","vatalanib","CHEMBL101253","Platelet-derived growth factor receptor inhibitor"
"930","vatalanib","CHEMBL101253","Vascular endothelial growth factor receptor inhibitor"
"931","vatalanib","CHEMBL101253","Macrophage colony stimulating factor receptor inhibitor"
"932","vatalanib","CHEMBL101253","angiogenesis inhibitors"
"933","GW-842166","CHEMBL225411","Cannabinoid CB2 receptor agonist"
"934","KD025","CHEMBL2005186","Rho-associated protein kinase 2 inhibitor"
"935","KD025","CHEMBL2005186","vasodilators (undefined group): Rho protein kinase (ROCK) inhibitors"
"936","TAK-733","CHEMBL1615025","Dual specificity mitogen-activated protein kinase kinase 1 inhibitor"
"937","TAK-733","CHEMBL1615025","Dual specificity mitogen-activated protein kinase kinase 2 inhibitor"
"938","WP1066","CHEMBL1923234"," "
"939","SB-939","CHEMBL1851943"," enzyme inhibitors: histone deacetylase inhibitors"
"940","MK-5108","CHEMBL3182444","Serine/threonine-protein kinase Aurora-A inhibitor"
"941","YM-155","CHEMBL2105734"," quaternary ammonium derivatives; quaternary ammonium derivatives"
"942","zaldaride","CHEMBL1474352"," "
"943","LY2784544","CHEMBL2107823","Tyrosine-protein kinase JAK2 inhibitor"
"944","LY2784544","CHEMBL2107823","tyrosine kinase inhibitors"
"945","crenolanib","CHEMBL2105728","Platelet-derived growth factor receptor inhibitor"
"946","crenolanib","CHEMBL2105728","Tyrosine-protein kinase receptor FLT3 inhibitor"
"947","crenolanib","CHEMBL2105728","angiogenesis inhibitors"
"948","marimastat","CHEMBL279785","Matrix metalloproteinase 9 inhibitor"
"949","marimastat","CHEMBL279785","Matrix metalloproteinase-1 inhibitor"
"950","marimastat","CHEMBL279785","Matrix metalloproteinase 12 inhibitor"
"951","marimastat","CHEMBL279785","Matrix metalloproteinase-2 inhibitor"
"952","marimastat","CHEMBL279785","Matrix metalloproteinase 3 inhibitor"
"953","marimastat","CHEMBL279785","Matrix metalloproteinase 7 inhibitor"
"954","marimastat","CHEMBL279785","enzyme inhibitors: matrix metalloprotease inhibitors"
"955","bitopertin","CHEMBL1171829","Glycine transporter 1 inhibitor"
"956","bitopertin","CHEMBL1171829","glycine transporter/reuptake inhibitors"
"957","warfarin","CHEMBL1464"," warfarin analogs"
"958","halofuginone","CHEMBL1197091"," "
"959","chlorpyrifos","CHEMBL463210"," "
"960","carvedilol","CHEMBL723","Adrenergic receptor beta antagonist"
"961","carvedilol","CHEMBL723","Adrenergic receptor alpha-1 antagonist"
"962","carvedilol","CHEMBL723","vasodilators (undefined group)"
"963","estradiol","CHEMBL135","Estrogen receptor alpha agonist"
"964","estradiol","CHEMBL135","estrogens"
"965","digoxin","CHEMBL1751","Sodium/potassium-transporting ATPase inhibitor"
"966","digoxin","CHEMBL1751","fluoroquinolone derivatives"
"967","digoxin","CHEMBL1751","nonantibacterial indication (e.g."
"968","digoxin","CHEMBL1751","antineoplastic antibiotics)"
"969","taltirelin","CHEMBL2107016","Thyrotropin-releasing hormone receptor agonist"
"970","taltirelin","CHEMBL2107016","prehormones or hormone-release stimulating peptides: thyrotropin releasing hormone analogues"
"971","spironolactone","CHEMBL1393","Mineralocorticoid receptor antagonist"
"972","ibutilide","CHEMBL533"," class III antiarrhythmic agents"
"973","dronedarone","CHEMBL184412"," antiarrhythmics"
"974","mibefradil","CHEMBL45816"," vasodilators (undefined group): calcium channel blockers acting as vasodilators"
"975","baicalin","CHEMBL485818"," "
"976","trovafloxacin","CHEMBL428"," antibacterials (quinolone derivatives)"
"977","ramatroban","CHEMBL361812","G protein-coupled receptor 44 antagonist"
"978","ramatroban","CHEMBL361812","Thromboxane A2 receptor antagonist"
"979","ramatroban","CHEMBL361812","antithrombotics (thromboxane A2 receptor antagonists)"
"980","theophylline","CHEMBL190","Phosphodiesterase 4 inhibitor"
"981","theophylline","CHEMBL190","Phosphodiesterase 3 inhibitor"
"982","theophylline","CHEMBL190","Adenosine receptor antagonist"
"983","fluorometholone","CHEMBL1200600","Glucocorticoid receptor agonist"
"984","fluorometholone","CHEMBL1200600","steroids (not prednisolone derivatives)"
"985","nicotine","CHEMBL3","Neuronal acetylcholine receptor; alpha4/beta2 agonist"
"986","menadione","CHEMBL590"," "
"987","racecadotril","CHEMBL2103772","Neprilysin inhibitor"
"988","racecadotril","CHEMBL2103772","endopeptidase inhibitors"
"989","torasemide","CHEMBL1148","Sodium-(potassium)-chloride cotransporter 2 inhibitor"
"990","torasemide","CHEMBL1148","diuretics (furosemide type)"
"991","chlorpropamide","CHEMBL498","Sulfonylurea receptor 1"
"992","chlorpropamide","CHEMBL498","Kir6.2 blocker"
"993","chlorpropamide","CHEMBL498","diuretics (sulfamoylbenzoic acid derivatives)"
"994","iodipamide","CHEMBL1165268"," iodine-containing contrast media; diuretics (sulfamoylbenzoic acid derivatives)"
"995","butamben","CHEMBL127516","Transient receptor potential cation channel subfamily V member 4 inhibitor"
"996","butamben","CHEMBL127516","Transient receptor potential cation channel subfamily A member 1 inhibitor"
"997","terbutaline","CHEMBL1760"," "
"998","dicycloverine","CHEMBL1123"," "
"999","fludarabine","CHEMBL1568"," "
"1000","thonzonium","CHEMBL1201322"," quaternary ammonium derivatives; quaternary ammonium derivatives"
"1001","amisulpride","CHEMBL243712","Serotonin (5-HT) receptor antagonist"
"1002","amisulpride","CHEMBL243712","Dopamine receptors; D2 & D3 antagonist"
"1003","amisulpride","CHEMBL243712","sulpride derivatives and analogs"
"1004","sarafloxacin","CHEMBL37858"," antibacterials (quinolone derivatives)"
"1005","diclazuril","CHEMBL284733"," "
"1006","levobunolol","CHEMBL1201237"," beta-blockers (propranolol type)"
"1007","azithromycin","CHEMBL529","Bacterial 70S ribosome inhibitor"
"1008","azithromycin","CHEMBL529","antibiotics (Streptomyces strain)"
"1009","trimebutine","CHEMBL190044"," "
"1010","ketoprofen","CHEMBL571","Cyclooxygenase inhibitor"
"1011","ketoprofen","CHEMBL571","anti-inflammatory/analgesic agents (ibuprofen type)"
"1012","calcitriol","CHEMBL846","Vitamin D receptor agonist"
"1013","calcitriol","CHEMBL846","vitamin D analogs"
"1014","clenbuterol","CHEMBL49080","Beta-2 adrenergic receptor agonist"
"1015","clenbuterol","CHEMBL49080","bronchodilators (phenethylamine derivatives)"
"1016","maprotiline","CHEMBL21731"," "
"1017","sufentanil","CHEMBL658"," narcotic analgesics (fentanyl derivatives)"
"1018","pindolol","CHEMBL500","Beta-1 adrenergic receptor partial agonist"
"1019","pindolol","CHEMBL500","Beta-2 adrenergic receptor partial agonist"
"1020","pindolol","CHEMBL500","beta-blockers (propranolol type)"
"1021","methscopolamine","CHEMBL376897"," "
"1022","nemonapride","CHEMBL20734"," sulpride derivatives and analogs"
"1023","latanoprost","CHEMBL1051","Prostanoid FP receptor agonist"
"1024","latanoprost","CHEMBL1051","prostaglandins"
"1025","norgestrel","CHEMBL2107797","Progesterone receptor agonist"
"1026","norgestrel","CHEMBL2107797","estrogens; progestins"
"1027","bendroflumethiazide","CHEMBL1684","Thiazide-sensitive sodium-chloride cotransporter inhibitor"
"1028","bendroflumethiazide","CHEMBL1684","diuretics (thiazide derivatives)"
"1029","bosentan","CHEMBL957","Endothelin receptor"
"1030","bosentan","CHEMBL957","ET-A/ET-B antagonist"
"1031","bosentan","CHEMBL957","endothelin receptor antagonists"
"1032","midodrine","CHEMBL1201212"," sympathomimetics"
"1033","lomitapide","CHEMBL354541"," microsomal triglyceride transfer protein (MTP) inhibitors"
"1034","benfotiamine","CHEMBL1491875"," "
"1035","albendazole","CHEMBL1483","Tubulin inhibitor"
"1036","albendazole","CHEMBL1483","antithelmintics (tibendazole type)"
"1037","trolox","CHEMBL153"," "
"1038","chromocarb","CHEMBL83628"," "
"1039","bisacodyl","CHEMBL942","Unknown"
"1040","salinomycin","CHEMBL1208572"," antibiotics (Streptomyces strain); anti-inflammatory agents (salicylic acid derivatives)"
"1041","florfenicol","CHEMBL1241590"," antibacterial antibiotics"
"1042","florfenicol","CHEMBL1241590","chloramphenicol analogs"
"1043","tropisetron","CHEMBL56564","Serotonin 3 (5-HT3) receptor antagonist"
"1044","tropisetron","CHEMBL56564","serotonin 5-HT3 receptor antagonists; atropine derivatives"
"1045","imidapril","CHEMBL317094","Angiotensin-converting enzyme inhibitor"
"1046","imidapril","CHEMBL317094","antihypertensives (ACE inhibitors)"
"1047","deflazacort","CHEMBL1201891","Glucocorticoid receptor agonist"
"1048","fludroxycortide","CHEMBL1201012","Glucocorticoid receptor agonist"
"1049","fludroxycortide","CHEMBL1201012","androgens"
"1050","ifosfamide","CHEMBL1024","DNA inhibitor"
"1051","ifosfamide","CHEMBL1024","phosphoro-derivatives; isophosphoramide mustard derivatives"
"1052","mitomycin-c","CHEMBL105","DNA inhibitor"
"1053","mitomycin-c","CHEMBL105","antibiotics (Streptomyces strain)"
"1054","teprenone","CHEMBL79686"," "
"1055","avanafil","CHEMBL1963681","Phosphodiesterase 5A inhibitor"
"1056","avanafil","CHEMBL1963681","phosphodiesterase type 5 inhibitors (PDE5) inhibitors: (PDE5) inhibitors containing a sulfonamide moiety"
"1057","thiomersal","CHEMBL508338","Antimicrobial preservative"
"1058","thiomersal","CHEMBL508338","used in vaccines"
"1059","thiomersal","CHEMBL508338","anti-inflammatory agents (salicylic acid derivatives)"
"1060","trapidil","CHEMBL132767"," vasodilators (undefined group)"
"1061","triciribine","CHEMBL331237"," "
"1062","paliperidone","CHEMBL1621","Dopamine D2 receptor antagonist"
"1063","paliperidone","CHEMBL1621","Serotonin 2a (5-HT2a) receptor antagonist"
"1064","paliperidone","CHEMBL1621","antipsychotics (risperidone type)"
"1065","SN-38","CHEMBL837","DNA topoisomerase I inhibitor"
"1066","rifampin","CHEMBL374478","Bacterial DNA-directed RNA polymerase inhibitor"
"1067","rifampin","CHEMBL374478","tricyclic compounds; antibiotics (rifamycin derivatives)"
"1068","formestane","CHEMBL132530"," antineoplastics (aromatase inhibitors)"
"1069","niclosamide","CHEMBL1448","DNA inhibitor"
"1070","lenalidomide","CHEMBL848","CRL4(CRBN) E3 ubiquitin ligase inhibitor"
"1071","lenalidomide","CHEMBL848","thalidomide derivatives; narcotic agonists/antagonists (normorphine type)"
"1072","lafutidine","CHEMBL1742461","Histamine H2 receptor antagonist"
"1073","lafutidine","CHEMBL1742461","H2-receptor antagonists (cimetidine type)"
"1074","bendamustine","CHEMBL487253"," antineoplastics (chloroethylamine derivatives)"
"1075","piretanide","CHEMBL349803"," diuretics (piretanide type)"
"1076","oxymetazoline","CHEMBL762"," antihistamines/local vasoconstrictors (antazoline type)"
"1077","levocetirizine","CHEMBL1201191"," "
"1078","felbamate","CHEMBL1094","Glutamate [NMDA] receptor antagonist"
"1079","felbamate","CHEMBL1094","tranquilizers/antiepileptics (propanediol and pentanediol groups)"
"1080","ivermectin","CHEMBL1200633","Glutamate-gated chloride channel modulator"
"1081","ivermectin","CHEMBL1200633","antiparasitics (ivermectin type)"
"1082","guanidine","CHEMBL821"," antihypertensives (guanidine deriviatives)"
"1083","cobicistat","CHEMBL2095208","Cytochrome P450 3A inhibitor"
"1084","cobicistat","CHEMBL2095208","enzyme inhibitors"
"1085","ACY-1215","CHEMBL2364628","Histone deacetylase 6 inhibitor"
"1086","ACY-1215","CHEMBL2364628","enzyme inhibitors: histone deacetylase inhibitors"
"1087","bifemelane","CHEMBL1192517"," "
"1088","tranilast","CHEMBL415324"," antiasthmatics/antiallergics (not acting primarily as antihistamines)"
"1089","toremifene","CHEMBL1655"," antiestrogens of the clomifene and tamoxifen groups"
"1090","diphemanil","CHEMBL1201340"," "
"1091","norfloxacin","CHEMBL9","Topoisomerase IV inhibitor"
"1092","norfloxacin","CHEMBL9","Bacterial DNA gyrase inhibitor"
"1093","norfloxacin","CHEMBL9","antibacterials (quinolone derivatives)"
"1094","zaleplon","CHEMBL1521","GABA A receptor alpha-1/beta-1/gamma-2 positive allosteric modulator"
"1095","zaleplon","CHEMBL1521","non-benzodiazepine anxiolytics"
"1096","zaleplon","CHEMBL1521","sedatives"
"1097","zaleplon","CHEMBL1521","hypnotics"
"1098","norepinephrine","CHEMBL1437"," "
"1099","genipin","CHEMBL459016"," "
"1100","afobazole","CHEMBL3707307"," "
"1101","naftifine","CHEMBL626"," "
"1102","simvastatin","CHEMBL1064","HMG-CoA reductase inhibitor"
"1103","simvastatin","CHEMBL1064","enzyme inhibitors: antihyperlipidemics (HMG-CoA inhibitors)"
"1104","sirolimus","CHEMBL413","FK506-binding protein 1A inhibitor"
"1105","sirolimus","CHEMBL413","immunosuppressives"
"1106","raltitrexed","CHEMBL225071","Thymidylate synthase inhibitor"
"1107","raltitrexed","CHEMBL225071","antineoplastic thymidylate synthetase inhibitors"
"1108","lidocaine","CHEMBL79","Sodium channel alpha subunit blocker"
"1109","lidocaine","CHEMBL79","local anesthetics"
"1110","abiraterone","CHEMBL254328","Cytochrome P450 17A1 inhibitor"
"1111","abiraterone","CHEMBL254328","Androgen Receptor antagonist"
"1112","abiraterone","CHEMBL254328","Steroid 5-alpha-reductase inhibitor"
"1113","abiraterone","CHEMBL254328","antiandrogens"
"1114","oxiracetam","CHEMBL36633"," nootropic agents (learning"
"1115","oxiracetam","CHEMBL36633","cognitive enhancers)"
"1116","oxiracetam","CHEMBL36633","piracetam type"
"1117","doxycycline","CHEMBL1200699","Matrix metalloproteinase 7 inhibitor"
"1118","doxycycline","CHEMBL1200699","Matrix metalloproteinase 8 inhibitor"
"1119","doxycycline","CHEMBL1200699","Matrix metalloproteinase 13 inhibitor"
"1120","doxycycline","CHEMBL1200699","Matrix metalloproteinase-1 inhibitor"
"1121","doxycycline","CHEMBL1200699","Bacterial 70S ribosome inhibitor"
"1122","doxycycline","CHEMBL1200699","antibiotics (tetracycline derivatives)"
"1123","cefdinir","CHEMBL927","Bacterial penicillin-binding protein inhibitor"
"1124","cefdinir","CHEMBL927","cephalosporins"
"1125","artesunate","CHEMBL361497","Unknown"
"1126","artesunate","CHEMBL361497","antimalarials (artemisin derivatives)"
"1127","methacycline","CHEMBL249837"," antibiotics (tetracycline derivatives)"
"1128","vincamine","CHEMBL1165342","Unknown"
"1129","vincamine","CHEMBL1165342","vinca alkaloids"
"1130","letrozole","CHEMBL1444","Cytochrome P450 19A1 inhibitor"
"1131","letrozole","CHEMBL1444","aromatase inhibitors (imidazole/triazole derivatives)"
"1132","ftorafur","CHEMBL20883","RNA inhibitor"
"1133","ftorafur","CHEMBL20883","Thymidylate synthase inhibitor"
"1134","ftorafur","CHEMBL20883","DNA inhibitor"
"1135","metronidazole","CHEMBL137","DNA inhibitor"
"1136","metronidazole","CHEMBL137","antiprotozoal substances (metronidazole type)"
"1137","bekanamycin","CHEMBL176","Bacterial 70S ribosome inhibitor"
"1138","bekanamycin","CHEMBL176","antibiotics (Streptomyces strain)"
"1139","fluvastatin","CHEMBL1078"," "
"1140","chloroxine","CHEMBL1200596","DNA inhibitor"
"1141","mifepristone","CHEMBL1276308","Glucocorticoid receptor antagonist"
"1142","mifepristone","CHEMBL1276308","Progesterone receptor antagonist"
"1143","mifepristone","CHEMBL1276308","steriodal compounds acting on progesterone receptors (excluding-gest- compounds); progesterone receptor antagonists"
"1144","fenofibrate","CHEMBL672","Peroxisome proliferator-activated receptor alpha agonist"
"1145","fenofibrate","CHEMBL672","antihyperlipidemics (clofibrate type)"
"1146","rutin","CHEMBL226335"," "
"1147","halofantrine","CHEMBL1107"," "
"1148","ritodrine","CHEMBL785"," "
"1149","nimorazole","CHEMBL435966"," "
"1150","nicorandil","CHEMBL284906"," vasodilators (undefined group)"
"1151","desonide","CHEMBL1201109","Glucocorticoid receptor agonist"
"1152","desonide","CHEMBL1201109","topical steroids (acetal derivatives)"
"1153","ZK811752","CHEMBL535607"," "
"1154","cetrimonium","CHEMBL1183605"," quaternary ammonium derivatives; quaternary ammonium derivatives"
"1155","aztreonam","CHEMBL158","Bacterial penicillin-binding protein inhibitor"
"1156","prazosin","CHEMBL2"," antihypertensives (prazosin type)"
"1157","AEE788","CHEMBL587723","Epidermal growth factor receptor erbB1 inhibitor"
"1158","AEE788","CHEMBL587723","Receptor protein-tyrosine kinase erbB-2 inhibitor"
"1159","AEE788","CHEMBL587723","Vascular endothelial growth factor receptor 2 inhibitor"
"1160","AEE788","CHEMBL587723","Vascular endothelial growth factor receptor 1 inhibitor"
"1161","GDC-0349","CHEMBL2331680","Serine/threonine-protein kinase mTOR inhibitor"
"1162","MK-8245","CHEMBL1938870"," "
"1163","taselisib","CHEMBL2387080","PI3-kinase class I inhibitor"
"1164","taselisib","CHEMBL2387080","phosphatidylinositol 3-kinase (PI3K) inhibitors"
"1165","TG-101348","CHEMBL1287853","Tyrosine-protein kinase receptor FLT3 inhibitor"
"1166","TG-101348","CHEMBL1287853","Tyrosine-protein kinase JAK2 inhibitor"
