"","name","moas_curated","target"
"705","equol","Estrogen receptor agonist","ESR1, ESR2"
"706","erteberel","Estrogen receptor agonist","ESR1, ESR2"
"707","estradiol","Estrogen receptor agonist","ESR1, ESR2, GPER1, KCNMA1, NR1I2"
"708","estradiol-cypionate","Estrogen receptor agonist","ESR1"
"709","estrone","Estrogen receptor agonist","ESR1, ESR2"
"710","ethinyl-estradiol","Estrogen receptor agonist","ESR1, ESR2, NR1I2"
"711","levonorgestrel","Estrogen receptor agonist","AR, ESR1, PGR, SRD5A1"
"712","raloxifene","Estrogen receptor agonist","ESR1, ESR2"
"713","tamoxifen","Estrogen receptor agonist","EBP, ESR1, ESR2, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ"
"714","toremifene","Estrogen receptor agonist","ESR1"
"715","clomifene","Estrogen receptor antagonist","ESR1"
"716","danazol","Estrogen receptor antagonist","AR, CCL2, ESR1, GNRHR, GNRHR2, PGR"
"717","fulvestrant","Estrogen receptor antagonist","ESR1, ESR2, GPER1"
"718","raloxifene","Estrogen receptor antagonist","ESR1, ESR2"
"719","tamoxifen","Estrogen receptor antagonist","EBP, ESR1, ESR2, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ"
"720","toremifene","Estrogen receptor antagonist","ESR1"
"721","estrone","Estrogenic hormone","ESR1, ESR2"
"722","ethinyl-estradiol","Estrogenic hormone","ESR1, ESR2, NR1I2"
"723","NH125","Eukaryotic translation elongation factor 2 inhibitor",NA
"724","KPT-185","Exportin antagonist","XPO1"
"725","KPT-276","Exportin antagonist","XPO1"
"726","selinexor","Exportin antagonist","XPO1"
"727","selinexor","Exportin-1 inhibitor","XPO1"
"728","AM-404","FAAH inhibitor","CNR1, CNR2, FAAH, TRPV1"
"729","LY2183240","FAAH inhibitor","FAAH"
"730","PF-04457845","FAAH inhibitor","FAAH"
"731","PF-3845","FAAH inhibitor","FAAH"
"732","LY2183240","FAAH reuptake inhibitor","FAAH"
"733","AZD4547","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, IGF1R, KDR"
"734","ENMD-2076","FGF receptor inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC"
"735","LY2874455","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, KDR"
"736","MK-2461","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, KDR, MERTK, MET, MST1R, NTRK1, NTRK2, PDGFRB"
"737","PD-173074","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB"
"738","dovitinib","FGF receptor inhibitor","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB"
"739","erdafitinib","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4"
"740","lenvatinib","FGF receptor inhibitor","FLT4, KDR"
"741","lucitanib","FGF receptor inhibitor","FGFR1, FLT1, KDR, KIT, PDGFRA, PDGFRB, RET"
"742","masitinib","FGF receptor inhibitor","FGFR3, KIT, PDGFRA, PDGFRB"
"743","nintedanib","FGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB"
"744","orantinib","FGF receptor inhibitor","AURKA, AURKB, EGFR, FGFR1, FGFR2, KDR, PDGFRA, PDGFRB"
"745","regorafenib","FGF receptor inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"746","everolimus","FK506-binding protein 1A inhibitor","MTOR"
"747","sirolimus","FK506-binding protein 1A inhibitor","FGF2, FKBP1A, MTOR"
"748","temsirolimus","FK506-binding protein 1A inhibitor","MTOR"
"749","AT-9283","FLT3 receptor inhibitor","AURKA, AURKB, JAK2, JAK3, RPS6KA6, STK17A"
"750","ENMD-2076","FLT3 receptor inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC"
"751","GTP-14564","FLT3 receptor inhibitor","CSF1R, FLT3, KIT, PDGFRB"
"752","KW-2449","FLT3 receptor inhibitor","ABL1, AURKA, AURKB, FLT3"
"753","TG-02","FLT3 receptor inhibitor","CDK1, CDK2, CDK7, CDK9, FLT3, JAK2"
"754","TG-101348","FLT3 receptor inhibitor","BRD4, JAK1, JAK2, JAK3, TYK2"
"755","crenolanib","FLT3 receptor inhibitor","CSF1R, FLT3, KIT, PDGFRA, PDGFRB"
"756","dovitinib","FLT3 receptor inhibitor","CSF1R, EGFR, FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, INSR, KDR, KIT, PDGFRA, PDGFRB"
"757","foretinib","FLT3 receptor inhibitor","FLT1, FLT4, KDR, MET"
"758","gilteritinib","FLT3 receptor inhibitor","FLT3"
"759","lestaurtinib","FLT3 receptor inhibitor","FLT3, NTRK1"
"760","linifanib","FLT3 receptor inhibitor","CSF1, CSF1R, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RET, TEK"
"761","midostaurin","FLT3 receptor inhibitor","FLT3, PRKCG"
"762","pacritinib","FLT3 receptor inhibitor","FLT3, JAK1, JAK2, JAK3"
"763","ponatinib","FLT3 receptor inhibitor","ABL1, BCR, FGFR1, FGFR2, FGFR3, FGFR4, FLT3, KDR, KIT, LCK, LYN, PDGFRA, RET, SRC, TEK"
"764","quizartinib","FLT3 receptor inhibitor","CSF1R, FLT3, KIT, PDGFRA, PDGFRB, RET"
"765","sorafenib","FLT3 receptor inhibitor","BRAF, DDR2, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRB, RAF1, RET"
"766","sunitinib","FLT3 receptor inhibitor","CSF1R, FGFR1, FLT1, FLT3, FLT4, KDR, KIT, PDGFRA, PDGFRB, RET"
"767","tandutinib","FLT3 receptor inhibitor","CSF1R, FLT3, KIT, PDGFD, PDGFRB"
"768","tozasertib","FLT3 receptor inhibitor","AURKA, AURKB, AURKC, LCK"
"769","tyrphostin-AG-1296","FLT3 receptor inhibitor","FLT3"
"770","thiostrepton","FOXM1 inhibitor","FOXM1"
"771","regorafenib","FRK inhibitor","ABL1, BRAF, DDR2, EPHA2, FGFR1, FGFR2, FLT1, FLT4, FRK, KDR, KIT, MAPK11, NTRK1, PDGFRA, PDGFRB, RAF1, RET, TEK"
"772","LB42708","Farnesyltransferase inhibitor",NA
"773","lonafarnib","Farnesyltransferase inhibitor","FNTA, HRAS, KRAS, NRAS"
"774","tipifarnib","Farnesyltransferase inhibitor","FNTA, FNTB"
"775","CEP-37440","Focal adhesion kinase inhibitor","ALK"
"776","PF-562271","Focal adhesion kinase inhibitor","PTK2, PTK2B"
"777","PF-573228","Focal adhesion kinase inhibitor","CDK1, CDK2, CDK7, GSK3B, IKBKB"
"778","VS-4718","Focal adhesion kinase inhibitor",NA
"779","defactinib","Focal adhesion kinase inhibitor","PTK2"
"780","leucovorin","Folate receptor ligand","TYMS"
"781","chlormidazole","Fungal lanosterol demethylase inhibitor",NA
"782","naftifine","Fungal squalene epoxidase inhibitor","SQLE"
"783","CCG-50014","G protein signaling inhibitor","RGS4, RGS8"
"784","ramatroban","G protein-coupled receptor 44 antagonist","PTGDR2, TBXA2R"
"785","G-1","G protein-coupled receptor agonist","GPER1"
"786","oleanolic-acid","G protein-coupled receptor agonist","GPBAR1"
"787","CGP-54626","GABA modulator","GABBR1, GABBR2, KCTD12, KCTD16, KCTD8"
"788","CGS-20625","GABA modulator","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6"
"789","GS-39783","GABA modulator","GABBR1"
"790","SB-205384","GABA modulator","GABRA3, GABRA5, GABRA6"
"791","clonazepam","GABA modulator","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO"
"792","gidazepam","GABA modulator",NA
"793","ginkgolide-a","GABA modulator","GLRA1, GLRB"
"794","indiplon","GABA modulator","GABRA1"
"795","lorazepam","GABA modulator","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, TSPO"
"796","methoxyflurane","GABA modulator","ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, MT-ND1"
"797","oxazepam","GABA modulator","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3"
"798","securinine","GABA modulator","GABRA1"
"799","sevoflurane","GABA modulator","ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9, MT-ND1"
"800","temazepam","GABA modulator","GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO"
"801","thiocolchicoside","GABA modulator","GABRA1, GABRB2, GABRG2, GLRA1, GLRB"
"802","tiagabine","GABA modulator","SLC6A1"
"803","zaleplon","GABA modulator","GABRA1, GABRB1, GABRG2, TSPO"
"804","GGTI-298","GGTase inhibitor","CDKN1A"
"805","clofazimine","GK0582 inhibitor",NA
"806","1-azakenpaullone","GSK3 inhibitor","CCNB1, CDK1, CDK5, GSK3B"
"807","AZD2858","GSK3 inhibitor","GSK3B"
"808","CHIR-98014","GSK3 inhibitor","GSK3A, GSK3B"
"809","CHIR-99021","GSK3 inhibitor","CDK1, GSK3A, GSK3B, MAPK1"
"810","GSK-3-inhibitor-IX","GSK3 inhibitor","GSK3A, GSK3B"
"811","LY2090314","GSK3 inhibitor","GSK3B"
"812","TWS-119","GSK3 inhibitor","GSK3B, JUN, MYC"
"813","indirubin","GSK3 inhibitor","CDK1, CDK5, GSK3A"
"814","kenpaullone","GSK3 inhibitor","CCNB1, CDK1, CDK5, GSK3B"
"815","tideglusib","GSK3 inhibitor","GSK3B"
"816","acivicin","Gamma glutamyltransferase Inhibitors","CTPS1"
"817","trans-4-Hydroxycrotonic-acid","Gamma hydroxybutyric acid ligand",NA
"818","YO-01027","Gamma secretase inhibitor",NA
"819","rabeprazole","Gastrin inhibitor","ATP4A"
"820","beclomethasone-dipropionate","Glucocorticoid receptor agonist","GPR97, NR3C1"
"821","betamethasone","Glucocorticoid receptor agonist","NR3C1"
"822","betamethasone-dipropionate","Glucocorticoid receptor agonist",NA
"823","ciclesonide","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"824","clobetasol-propionate","Glucocorticoid receptor agonist","NR3C1, PLA2G1B"
"825","clocortolone-pivalate","Glucocorticoid receptor agonist","NR3C1, PLA2G1B"
"826","deflazacort","Glucocorticoid receptor agonist","NR3C1"
"827","desonide","Glucocorticoid receptor agonist","NR3C1, PLA2G1B"
"828","dexamethasone-acetate","Glucocorticoid receptor agonist",NA
"829","difluprednate","Glucocorticoid receptor agonist","NR3C1"
"830","fludroxycortide","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"831","flumethasone","Glucocorticoid receptor agonist","NR3C1, PLA2G1B"
"832","flumethasone-pivalate","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"833","fluocinolone-acetonide","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"834","fluorometholone","Glucocorticoid receptor agonist","NR3C1"
"835","fluticasone-propionate","Glucocorticoid receptor agonist","NR3C1, NR3C2, PGR, PLA2G4A"
"836","halcinonide","Glucocorticoid receptor agonist","NR3C1"
"837","halobetasol-propionate","Glucocorticoid receptor agonist","NR3C1, PLA2G1B"
"838","hydrocortisone","Glucocorticoid receptor agonist",NA
"839","methylprednisolone","Glucocorticoid receptor agonist","NR3C1"
"840","piretanide","Glucocorticoid receptor agonist","SLC12A1, SLC12A2"
"841","prednisolone","Glucocorticoid receptor agonist","NR3C1, NR3C2, SERPINA6"
"842","prednisolone-acetate","Glucocorticoid receptor agonist","NR3C1"
"843","prednisolone-hemisuccinate","Glucocorticoid receptor agonist","NR3C1"
"844","prednisolone-tebutate","Glucocorticoid receptor agonist",NA
"845","rimexolone","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"846","triamcinolone","Glucocorticoid receptor agonist","NR3C1, SERPINA6"
"847","triamcinolone-acetonide","Glucocorticoid receptor agonist","NR3C1"
"848","aminoglutethimide","Glucocorticoid receptor antagonist","CYP11A1, CYP19A1"
"849","cyproterone-acetate","Glucocorticoid receptor antagonist","ADORA1, AR"
"850","levonorgestrel","Glucocorticoid receptor antagonist","AR, ESR1, PGR, SRD5A1"
"851","mifepristone","Glucocorticoid receptor antagonist","AR, NR1I2, NR3C1, PGR"
"852","GSK1292263","Glucose dependent insulinotropic receptor agonist","GRPR"
"853","oleoylethanolamide","Glucose dependent insulinotropic receptor agonist","CNR1, GPR119, GPR55, PPARA"
"854","GSK1292263","Glucose-dependent insulinotropic receptor agonist","GRPR"
"855","D-Serine","Glutamate receptor agonist","GLRA1, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, SERPINB3"
"856","IDRA-21","Glutamate receptor agonist","GRIA1, GRIA2, GRIA3, GRIA4"
"857","VU0361737","Glutamate receptor agonist","GRM4"
"858","VU0364770","Glutamate receptor agonist","GRM4"
"859","homoquinolinic-acid","Glutamate receptor agonist","GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D"
"860","mibampator","Glutamate receptor agonist","GRIA1"
"861","ACDPP","Glutamate receptor antagonist","GRM5"
"862","CGP-37849","Glutamate receptor antagonist","GRIN2A, GRIN2B, GRIN2C, GRIN2D"
"863","CPP","Glutamate receptor antagonist","GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D"
"864","IEM1754","Glutamate receptor antagonist","GRIA1"
"865","JNJ-16259685","Glutamate receptor antagonist","GRM1"
"866","LY456236","Glutamate receptor antagonist","GRM1"
"867","MTPG","Glutamate receptor antagonist","GRM2, GRM3"
"868","SIB-1757","Glutamate receptor antagonist","GRM5"
"869","diazooxonorleucine","Glutamate receptor antagonist",NA
"870","felbamate","Glutamate receptor antagonist","GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B"
"871","kynurenic-acid","Glutamate receptor antagonist","GPR35, GRIN1, GRIN2A, GRIN2B"
"872","latrepirdine","Glutamate receptor antagonist","HRH1, HTR6"
"873","tiletamine","Glutamate receptor antagonist",NA
"874","chicago-sky-blue-6b","Glutamate receptor modulator","MIF"
"875","ivermectin","Glutamate receptor modulator","CHRNA7, GABRB3, GLRA3, P2RX7"
"876","mibampator","Glutamate receptor modulator","GRIA1"
"877","riluzole","Glutamate receptor modulator","KCNK10, KCNK2, KCNK4, KCNN4, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, SLC7A11"
"878","spermidine","Glutamate receptor modulator","KCNJ4, TXNRD1"
"879","acetylcysteine","Glutathione precursor","ACY1, CHUK, GRIN1, GRIN2A, GRIN2B, GRIN2D, GRIN3A, GSS, IKBKB, RELA, SLC7A11"
"880","carmustine","Glutathione reductase inhibitor","GSR"
"881","buthionine-sulfoximine","Glutathione transferase inhibitor","GCLM"
"882","methoxyflurane","Glycine receptor agonist","ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, MT-ND1"
"883","sevoflurane","Glycine receptor agonist","ATP2C1, ATP5D, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GLRA1, GLRB, GRIA1, KCNA1, KCNK10, KCNK18, KCNK2, KCNK3, KCNK9, MT-ND1"
"884","bitopertin","Glycine transporter inhibitor","SLC6A5, SLC6A9"
"885","BX-912","Glycolysis kinase modulator","CDK2, CHEK1, GSK3B, KDR, PDK1, PDPK1"
"886","LY2608204","Glycolysis kinase modulator","GCK"
"887","PFK-015","Glycolysis kinase modulator","PFKFB3"
"888","dichloroacetate","Glycolysis kinase modulator","PDK1"
"889","niridazole","Glycolysis kinase modulator",NA
"890","DU-728","Glycoprotein inhibitor","ITGA2B, ITGB3"
"891","SC-144","Glycoprotein inhibitor",NA
"892","brivaracetam","Glycoprotein inhibitor","SV2A"
"893","elacridar","Glycoprotein inhibitor","ABCB1"
"894","GW-441756","Growth factor receptor inhibitor","NTRK1"
"895","PHA-848125","Growth factor receptor inhibitor","CDK2, CDK4, CDK7, NTRK1"
"896","danusertib","Growth factor receptor inhibitor","AURKA, AURKB, AURKC, FGFR1, NTRK1, RET, SLK"
"897","lestaurtinib","Growth factor receptor inhibitor","FLT3, NTRK1"
"898","riociguat","Guanylate cyclase stimulant","GUCY1A2, GUCY1A3, GUCY1B2, GUCY1B3"
"899","bosutinib","HCK inhibitor","ABL1, BCR, CAMK1D, CAMK2G, CDK2, FRK, FYN, HCK, LYN, MAP2K1, MAP2K2, MAP3K2, MAP4K5, SRC, STK10, STK24, STK4, TNK2, TXK"
"900","PSI-7976","HCV inhibitor",NA
"901","Ro-9187","HCV inhibitor",NA
"902","daclatasvir","HCV inhibitor",NA
"903","embelin","HCV inhibitor","XIAP"
"904","mericitabine","HCV inhibitor",NA
"905","narlaprevir","HCV inhibitor",NA
"906","dofetilide","HERG blocker","KCNH1, KCNH2, KCNJ12, KCNK2"
"907","AMG-208","HGF receptor inhibitor","MET"
"908","AMG458","HGF receptor inhibitor","MET"
"909","INC-280","HGF receptor inhibitor","MET"
"910","LY2801653","HGF receptor inhibitor","MET"
"911","MK-2461","HGF receptor inhibitor","FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, KDR, MERTK, MET, MST1R, NTRK1, NTRK2, PDGFRB"
"912","NVP-BVU972","HGF receptor inhibitor","MET"
"913","PF-04217903","HGF receptor inhibitor","MET"
"914","PHA-665752","HGF receptor inhibitor","MET"
"915","WAY-170523","HGF receptor inhibitor","MMP13"
"916","crizotinib","HGF receptor inhibitor","ALK, MET"
"917","doxycycline","HGF receptor inhibitor","MMP8"
"918","foretinib","HGF receptor inhibitor","FLT1, FLT4, KDR, MET"
"919","golvatinib","HGF receptor inhibitor","KDR, MET"
"920","salvianolic-acid-B","HGF receptor inhibitor","MMP9"
"921","tivantinib","HGF receptor inhibitor","MET"
"922","cidofovir","HH1 DNA polymerase inhibitor",NA
"923","famciclovir","HH1 DNA polymerase inhibitor",NA
"924","idoxuridine","HH1 DNA polymerase inhibitor",NA
"925","menadione","HH1 DNA polymerase inhibitor","AOX1, BGLAP, F10, F2, F7, F9, GGCX, NQO1, NQO2, PROC, PROS1, PROZ, VKORC1, VKORC1L1"
"926","trifluridine","HH1 DNA polymerase inhibitor","TYMS"
"927","vidarabine","HH1 DNA polymerase inhibitor","ADA"
"928","BMS-626529","HIV attachment inhibitor",NA
"929","BMS-707035","HIV integrase inhibitor",NA
"930","caffeic-acid","HIV integrase inhibitor","ALOX5, MIF"
"931","caffeic-acid-phenethyl-ester","HIV integrase inhibitor","RELA"
"932","dolutegravir","HIV integrase inhibitor","CYP3A4, CYP3A5, CYP3A7, POU2F2, UGT1A1"
"933","tipranavir","HIV protease inhibitor",NA
"934","atorvastatin","HMG-CoA reductase inhibitor","AHR, DPP4, HMGCR"
"935","fluvastatin","HMG-CoA reductase inhibitor","HMGCR"
"936","lovastatin","HMG-CoA reductase inhibitor","HDAC2, HMGCR, ITGAL, NR1I2"
"937","mevastatin","HMG-CoA reductase inhibitor","HMGCR"
"938","pitavastatin","HMG-CoA reductase inhibitor","HMGCR"
"939","simvastatin","HMG-CoA reductase inhibitor","HMGCR, ITGB2"
"940","AEG3482","HSP inhibitor",NA
"941","AT13387","HSP inhibitor","HSP90AA1"
"942","BIIB021","HSP inhibitor","HSP90AA1"
"943","KW-2478","HSP inhibitor",NA
"944","NMS-E973","HSP inhibitor",NA
"945","NVP-AUY922","HSP inhibitor","HSP90AA1, HSP90AB1"
"946","PU-H71","HSP inhibitor","HSP90AA1"
"947","SNX-2112","HSP inhibitor",NA
"948","SNX-5422","HSP inhibitor","HSP90AA1"
"949","VER-49009","HSP inhibitor","HSP90AA1"
"950","XL888","HSP inhibitor",NA
"951","alvespimycin","HSP inhibitor","HSP90AA1"
"952","ganetespib","HSP inhibitor","HSP90AA1"
"953","guanidine","HSP inhibitor","ALDH2, DLG4, GAMT, RNASE1"
"954","homosalate","HSP inhibitor",NA
"955","tanespimycin","HSP inhibitor","HSP90AA1"
"956","INH1","Hec1 inhibitor","NDC80"
"957","JK-184","Hedgehog pathway inhibitor",NA
"958","sonidegib","Hedgehog pathway inhibitor","SMO"
"959","vismodegib","Hedgehog pathway inhibitor","SMO"
"960","narlaprevir","Hepatitis C virus serine protease",NA
"961","FPH1-(BRD-6125)","Hepatocyte function enhancer",NA
"962","4-methylhistamine","Histamine receptor agonist","HRH4"
"963","BF2.649","Histamine receptor agonist","HRH3"
"964","ebastine","Histamine receptor agonist","CYP3A4, HRH1"
"965","lidocaine","Histamine receptor agonist","EGFR, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
"966","BF2.649","Histamine receptor antagonist","HRH3"
"967","ICI-162846","Histamine receptor antagonist","HRH2"
"968","astemizole","Histamine receptor antagonist","HRH1, KCNH1, KCNH2"
"969","chloropyramine","Histamine receptor antagonist","HRH1"
"970","cimetidine","Histamine receptor antagonist","HRH2, SLC29A4, SLC47A1, SLC47A2"
"971","cyproheptadine","Histamine receptor antagonist","ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7"
"972","ebastine","Histamine receptor antagonist","CYP3A4, HRH1"
"973","epinastine","Histamine receptor antagonist","ADRA1A, ADRA2A, HRH1, HRH2, HTR2A, HTR7"
"974","famotidine","Histamine receptor antagonist","HRH2"
"975","lafutidine","Histamine receptor antagonist","HRH2"
"976","levocetirizine","Histamine receptor antagonist","HRH1"
"977","nizatidine","Histamine receptor antagonist","HRH2"
"978","pheniramine","Histamine receptor antagonist","HRH1"
"979","ranitidine","Histamine receptor antagonist","HRH2"
"980","tecastemizole","Histamine receptor antagonist","KCNH2"
"981","terfenadine","Histamine receptor antagonist","CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, HRH1, KCNH1, KCNH2"
"982","tiotidine","Histamine receptor antagonist","HRH2"
"983","zolantidine","Histamine receptor antagonist",NA
"984","ACY-1215","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC6, HDAC8"
"985","AR-42","Histone deacetylase inhibitor","HDAC1"
"986","CUDC-101","Histone deacetylase inhibitor","EGFR, ERBB2"
"987","CUDC-907","Histone deacetylase inhibitor","HDAC2, PIK3R1"
"988","GSK-J4","Histone deacetylase inhibitor","KDM6A, KDM6B"
"989","JIB04","Histone deacetylase inhibitor","KDM4E"
"990","JNJ-26481585","Histone deacetylase inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2"
"991","M-344","Histone deacetylase inhibitor",NA
"992","NSC-3852","Histone deacetylase inhibitor","HDAC1"
"993","PCI-24781","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC6"
"994","R306465","Histone deacetylase inhibitor",NA
"995","RG2833","Histone deacetylase inhibitor","HDAC1, HDAC3"
"996","RGFP966","Histone deacetylase inhibitor","HDAC3"
"997","SB-939","Histone deacetylase inhibitor","HDAC1, HDAC10, HDAC3, HDAC4, HDAC5, HDAC9"
"998","belinostat","Histone deacetylase inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"999","chidamide","Histone deacetylase inhibitor","HDAC10, HDAC3"
"1000","curcumin","Histone deacetylase inhibitor","APP, CA1, CA12, CA14, CA2, CA4, CA6, CA9, CYP3A4, DNMT3B, EP300, MMP13, MMP9, NOS2, PTGS1, PTGS2, XDH"
"1001","dacinostat","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"1002","entinostat","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC9"
"1003","givinostat","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"1004","mocetinostat","Histone deacetylase inhibitor","HDAC1, HDAC11, HDAC2, HDAC3"
"1005","nexturastat-a","Histone deacetylase inhibitor","HDAC1, HDAC6"
"1006","panobinostat","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9"
"1007","pyroxamide","Histone deacetylase inhibitor","HDAC1"
"1008","resminostat","Histone deacetylase inhibitor","HDAC1, HDAC3, HDAC6, HDAC8"
"1009","romidepsin","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"1010","scriptaid","Histone deacetylase inhibitor","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"1011","tacedinaline","Histone deacetylase inhibitor","HDAC1"
"1012","trichostatin-a","Histone deacetylase inhibitor","HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
"1013","vorinostat","Histone deacetylase inhibitor","HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC5, HDAC6, HDAC8, HDAC9"
"1014","3-deazaneplanocin-A","Histone methylation regulator","EZH2"
"1015","BIX-01294","Histone methylation regulator","EHMT1, EHMT2"
"1016","EPZ-5676","Histone methylation regulator","DOT1L"
"1017","UNC0631","Histone methylation regulator","EHMT2"
"1018","ryuvidine","Histone methylation regulator","CDK2, CDK4"
"1019","tazemetostat","Histone methylation regulator","EZH2"
"1020","tipranavir","Human immunodeficiency virus type 1 protease inhibitor",NA
"1021","mephenytoin","Hydantoin antiepileptic","SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A"
"1022","nitisinone","Hydroxyphenylpyruvate dioxygenase inhibitor","HPD"
"1023","2-methoxyestradiol","Hypoxia inducible factor inhibitor","COMT, CYP19A1, CYP1A1, CYP1B1, HIF1A, TUBB"
"1024","BAY-87-2243","Hypoxia inducible factor inhibitor","HIF1A"
"1025","FG-4592","Hypoxia inducible factor prolyl hydroxylase inhibitor","EGLN2"
"1026","FG-4592","Hypoxia-inducible factor prolyl hydroxylase inhibitor","EGLN2"
"1027","polydatin","ICAM1 expression inhibitor","ICAM1"
"1028","AZD3463","IGF receptor inhibitor","ALK, IGF1R"
